word,pinyin,translation,word_type
并,bìng,"combine, annex; also, what's more",conjunction
物,wù,"thing, substance, creature",noun
手,shǒu,hand,noun
应,yìng,"should, ought to, must",verb/modal verb
战,zhàn,"war, fighting, battle",noun/verb
向,xiàng,"toward, direction, trend",preposition
头,tóu,"head; top; chief, first; boss",noun
文,wén,"literature, culture, writing",noun
体,tǐ,"body; group, class, body, unit; inferior",noun
政,zhèng,"government, political affairs",noun
美,měi,"beautiful, pretty; pleasing",adjective/noun
相,xiāng,"mutual, reciprocal, each other",adjective/adverb/verb
见,jiàn,"see, observe, behold; perceive",verb
被,bèi,passive indicator 'by'; bedding,particle
利,lì,"gains, advantage, profit, merit",noun/adjective
什,shí,"file of ten soldiers; mixed, miscellaneous",pronoun
二,èr,two; twice,numeral
等,děng,"rank, grade; wait; equal; 'etc.'",noun/verb
产,chǎn,"give birth, bring forth, produce",noun/verb
或,huò,"or, either, else; perhaps, maybe",conjunction
新,xīn,"new, recent, fresh, modern",adjective
己,jǐ,"self, oneself; personal, private; 6th heavenly stem",pronoun
制,zhì,system; establish; overpower,noun/verb
身,shēn,"body; trunk, hull; rad. no. 158",noun
果,guǒ,fruit; result,noun
加,jiā,"add to, increase, augment",verb
西,xī,"west(ern); westward, occident",noun
斯,sī,"this, thus, such; to lop off; emphatic particle",phonetic suffix
月,yuè,moon; month; KangXi radical 74,noun
话,huà,"speech, talk, language; dialect",noun
合,hé,"combine, unite, join; gather",verb
回,huí,"return, turn around; a time",verb/noun
特,tè,"special, unique, distinguished",adjective
代,dài,"replace, replacement (of person or generation); era, generation",noun/verb
内,nèi,inside,noun/preposition
信,xìn,"trust, believe; letter",noun
表,biǎo,"show, express, manifest, display",noun/verb
化,huà,"change, convert, reform; -ize",verb
老,lǎo,"old, aged; experienced",adjective
给,gěi,"give; by, for",verb
世,shì,generation; world; era,noun
位,wèi,"throne; position, post; rank, status; seat",noun/measure word
次,cì,"order, sequence; next",noun/measure word
度,dù,"degree, system; manner; to consider",noun
门,mén,"gate, door, entrance, opening",noun
任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",noun/verb
常,cháng,"common, normal, frequent, regular",adverb/adjective
先,xiān,"first, former, previous",adjective/adverb
海,hǎi,"sea, ocean; maritime",noun
通,tōng,"pass through, common, communicate",verb/adjective
教,jiào,"teach, class",verb
儿,ér,"son, child; KangXi radical 10",noun/suffix
原,yuán,"source, origin, beginning",noun/adjective
东,dōng,"east, eastern, eastward",noun
声,shēng,"sound, voice, noise; tone; music",noun
提,tí,hold in hand; lift in hand,verb
立,lì,"stand; let stand; establish, set",verb
及,jí,extend; reach; come up to; and,conjunction
比,bǐ,"to compare, liken; comparison; than",verb
员,yuán,"member; personnel, staff member",noun
解,jiě,"loosen, unfasten, untie; explain",verb/noun
水,shuǐ,"water, liquid, lotion, juice",noun
名,míng,"name, rank, title, position",noun
真,zhēn,"real, actual, true, genuine",adjective/adverb
论,lùn,debate; discuss; discourse,noun/verb
处,chù,"place, locale; department",noun/verb
走,zǒu,"walk, go on foot; run; leave",verb
义,yì,"right conduct, righteousness",noun
各,gè,"each, individually, every, all",pronoun
入,rù,"enter, come in(to), join",verb
几,jī,small table,numeral/pronoun
口,kǒu,"mouth; open end; entrance, gate",noun
认,rèn,"recognize, know, understand",verb
条,tiáo,"clause, condition; string, stripe",noun/measure word
平,píng,"flat, level, even; peaceful",adjective
系,xì,"system; line, link, connection",noun/verb
气,qì,"steam, vapor; KangXi radical 84",noun
题,tí,"forehead; title, headline; theme",noun
活,huó,"live, exist, survive; lively",noun/verb
尔,ěr,"you; that, those; final particle",pronoun
更,gèng,"more, still further, much more",adverb
别,bié,"separate, other; do not",verb/adjective
打,dǎ,"strike, hit, beat; fight; attack",verb
女,nǚ,"woman, girl; feminine; rad. 38",noun
变,biàn,"change, transform, alter; rebel",verb
四,sì,four,numeral
神,shén,"spirit, god, supernatural being",noun
总,zǒng,"collect; overall, altogether",adverb/adjective
何,hé,"what, why, where, which, how",pronoun
电,diàn,electricity; electric; lightning,noun
数,shù,"number; several, count; fate",noun/verb
安,ān,"peaceful, tranquil, quiet",adjective
少,shǎo,"few, less, inadequate",adjective/adverb
报,bào,"report, tell, announce",noun/verb
才,cái,"talent, ability; just, only",adverb
结,jié,"knot, tie; join, connect",verb/noun
反,fǎn,"reverse, opposite, contrary, anti",verb/adjective
受,shòu,"receive, accept, get; bear, stand",verb
目,mù,"eye; look, see; division, topic",noun
太,tài,"very, too, much; big; extreme",adverb
量,liàng,"measure, quantity, capacity",noun
再,zài,"again, twice, re-",adverb
感,gǎn,"feel, perceive, emotion",noun/verb
建,jiàn,"build, establish, erect, found",verb
务,wù,"affairs, business; must, should",noun
做,zuò,"work, make; act",verb
接,jiē,receive; continue; catch; connect,verb
必,bì,"surely, most certainly; must",adverb
场,cháng,"open space, field, market",noun
件,jiàn,numerary adjunct for article; matter,noun
计,jì,"plan, plot; strategem; scheme",verb
管,guǎn,"pipe, tube, duct; woodwind music",verb
期,qī,period of time; date; time limit,noun
市,shì,"market, fair; city, town; trade",noun
直,zhí,"straight, erect, vertical",adverb/adjective
德,dé,"ethics, morality, virtue",noun
资,zī,property; wealth; capital,noun
命,mìng,"life; destiny, fate, luck; an order, instruction",noun
山,shān,"mountain, hill, peak",noun
金,jīn,gold; metals in general; money,noun
指,zhǐ,"finger, toe; point, indicate",verb
克,kè,gram; overcome; transliteration,verb
许,xǔ,"allow, permit; promise; betroth",verb
统,tǒng,"govern, command, control; unite",noun/verb
区,qū,"area, district, region, ward",noun
保,bǎo,"protect, safeguard, defend, care",verb
至,zhì,"reach, arrive; extremely, very",preposition
队,duì,"team, group; army unit",noun
形,xíng,"form, shape, appearance",noun
社,shè,"god of the soil and altars to him; group of families; company, society",noun
便,biàn,"convenience, ease; expedient",adjective/adverb
空,kōng,"empty, hollow, bare, deserted",adjective/noun
决,jué,"decide, determine, judge",verb
治,zhì,"govern, regulate, administer",verb
展,zhǎn,"open, unfold; stretch, extend",verb
马,mǎ,horse; surname; KangXi radical 187,noun
科,kē,"section, department, science",noun
司,sī,"take charge of, control, manage; officer",noun
五,wǔ,five; surname,numeral
基,jī,"foundation, base",noun
眼,yǎn,"eye; eyelet, hole, opening",noun
书,shū,"book, letter, document; writings",noun
非,fēi,"not, negative, non-; oppose",adverb/adjective
则,zé,"rule, law, regulation; grades",conjunction
听,tīng,"hear; understand; obey, comply",verb
白,bái,"white; pure, unblemished; bright",adjective/noun
却,què,"still, but; decline; retreat",adverb
界,jiè,"boundary, limit; domain; society; the world",noun
达,dá,"arrive at, reach; intelligent; smooth, slippery",verb
光,guāng,"light, brilliant, shine; only",noun/adverb
放,fàng,"put, release, free, liberate",verb
强,qiáng,"strong, powerful, energetic",adjective/verb
即,jí,"promptly, quickly, immediately",adverb
像,xiàng,"a picture, image, figure; to resemble",verb/noun
难,nán,"difficult, arduous, hard; unable",adjective
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",conjunction
权,quán,"power, right, authority",noun
思,sī,"think, consider, ponder; final particle",verb
王,wáng,"king, ruler; royal; surname",noun
象,xiàng,"elephant; ivory; figure, image",noun
完,wán,"complete, finish, settle; whole",verb
设,shè,build; establish; display,verb
式,shì,"style, system, formula, rule",noun
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",noun
路,lù,"road, path, street; journey",noun
记,jì,"record; keep in mind, remember",verb
南,nán,south; southern part; southward,noun
品,pǐn,"article, product, commodity",noun
住,zhù,"reside, live at, dwell, lodge; stop",verb
告,gào,"tell, announce, inform; accuse",verb
类,lèi,"class, group, kind, category",noun
求,qiú,"seek; demand, request; beseech",verb
据,jù,"to occupy, take possession of; a base, position",noun/verb
程,chéng,"journey, trip; schedule, agenda",noun
北,běi,north; northern; northward,noun
边,biān,"edge, margin, side, border",noun
死,sǐ,die; dead; death,verb
张,zhāng,"stretch, extend, expand; sheet",verb/noun
该,gāi,"should, ought to, need to",pronoun
交,jiāo,"mix; intersect; exchange, communicate; deliver",verb
规,guī,"rules, regulations, customs, law",noun
万,wàn,ten thousand; innumerable,numeral
取,qǔ,"take, receive, obtain; select",verb
拉,lā,"pull, drag; seize, hold; lengthen",verb
格,gé,"pattern, standard, form; style",noun
望,wàng,"to look at, look forward; to hope, expect",verb
觉,jué,to wake up from sleep; conscious,verb
术,zhú,"art, skill, special feat; method, technique",noun
领,lǐng,"neck; collar; lead, guide",verb
共,gòng,"together with, all, total; to share",adverb
确,què,"sure, certain; real, true",adjective
传,chuán,"summon; propagate, transmit",verb
师,shī,"teacher, master, specialist",noun
观,guān,"see, observe, view; appearance",noun
清,qīng,"clear, pure, clean; peaceful",adjective
今,jīn,"now, today, modern era",noun/adverb
切,qiē,"cut, mince, slice, carve",verb/adjective
院,yuàn,"courtyard, yard, court; school",noun
让,ràng,"allow, permit, yield, concede",verb
识,shì,"recognize, understand, know",verb
候,hòu,wait; expect; visit; greet,noun
带,dài,"belt, girdle, band, strap, zone",verb
导,dǎo,"direct, guide, lead, conduct",verb
争,zhēng,"dispute, fight, contend, strive",verb
运,yùn,"run; simplified form of 運 luck, fortune; ship, transport",noun/verb
笑,xiào,"smile, laugh, giggle; snicker",verb
飞,fēi,fly; go quickly; dart; high,verb
风,fēng,"wind; air; manners, atmosphere",noun
步,bù,"step, pace; walk, stroll",noun
改,gǎi,"change, alter; improve, remodel",verb
收,shōu,"gather together, collect; harvest",verb
根,gēn,"root, base(d on); foundation",noun
干,gān,"oppose, offend; invade; dried",adjective/verb
造,zào,"construct, build, make, begin; prepare",verb
言,yán,"words, speech; speak, say",noun
联,lián,"connect, join; associate, ally",verb
持,chí,"sustain, support; hold, grasp",verb
组,zǔ,"class; section, department",noun/verb
每,měi,"every, each",pronoun
济,jì,"help, aid, relieve; ferry, cross",noun
车,chē,"cart, vehicle; carry in cart",noun
亲,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",noun/verb/adjective
极,jí,"extreme, utmost, furthest, final",adverb/adjective
林,lín,"forest, grove; surname",noun
服,fú,"clothes; wear, dress",noun/verb
快,kuài,"rapid, quick, speedy, fast; soon",adjective/adverb
办,bàn,"manage, do, handle; deal with",verb
议,yì,"consult, talk over, discuss",noun/verb
往,wǎng,"go, depart; past, formerly",preposition
元,yuán,first; dollar; origin; head,noun
英,yīng,"petal, flower, leaf; brave, a hero; England, English",noun/adjective
士,shì,"scholar, gentleman; soldier",noun
证,zhèng,"prove, confirm, verify; proof",noun/verb
近,jìn,"near, close; approach; intimate",adjective/adverb/preposition
失,shī,"lose; make mistake, neglect",verb
转,zhuǎn,"shift, move, turn",verb
夫,fū,"man, male adult, husband; those",noun
令,lìng,"command, order; 'commandant', magistrate; allow, cause",verb/noun
准,zhǔn,"approve, allow, permit; in accord",verb/adjective
布,bù,"cotton cloth, textiles, linen",verb/noun
始,shǐ,"begin, start; then, only then",verb
怎,zěn,what? why? how?,adverb
呢,ní,interrogative or emphatic final; (Cant.) this,particle
存,cún,"exist, live, be; survive; remain",verb
未,wèi,not yet; 8th terrestrial branch,adverb
远,yuǎn,"distant, remote, far; profound",adjective/adverb
叫,jiào,"cry, shout; hail, greet, call",verb
台,tái,platform; unit; term of address,noun
单,dān,"single, individual, only; lone",adjective/noun
影,yǐng,"shadow; image, reflection; photograph",noun
具,jù,"tool, implement; draw up, write",noun
罗,luō,net for catching birds; gauze,noun
字,zì,"letter, character, word",noun
爱,ài,"love, be fond of, like",verb/noun
击,jí,"strike, hit, beat; attack, fight",verb
流,liú,"flow, circulate, drift; class",noun/verb
备,bèi,"prepare, ready, perfect",verb
兵,bīng,"soldier, troops",noun
连,lián,"join, connect; continuous; even",verb/adverb
调,diào,"transfer, move, change; tune",noun/verb
深,shēn,"deep; depth; far; very, extreme",adjective
商,shāng,"commerce, business, trade",noun
算,suàn,"count, calculate, figure; plan",verb
质,zhí,"matter, material, substance",noun
团,tuán,"sphere, ball, circle; mass, lump",noun
集,jí,"assemble, collect together",noun/verb
百,bǎi,"one hundred; numerous, many",numeral
需,xū,"need, require, must",verb
价,jià,"price, value",noun
花,huā,flower; blossoms,noun/verb
党,dǎng,"political party, gang, faction",noun
华,huá,flowery; illustrious; Chinese,noun/adjective
城,chéng,"castle; city, town; municipality",noun
石,shí,"stone, rock, mineral; rad. 112",noun
级,jí,"level, rank, class; grade",noun
整,zhěng,"orderly, neat, tidy; whole",verb/adjective
府,fǔ,prefecture; prefect; government,noun
离,lí,rare beast; strange; elegant,verb
况,kuàng,"condition, situation; furthermore",noun
亚,yà,Asia; second,noun
请,qǐng,"ask, request; invite; please",verb
技,jì,"skill, ability, talent, ingenuity",noun
际,jì,"border, boundary, juncture",noun
约,yuē,"treaty, agreement, covenant",verb/noun
示,shì,"show, manifest; demonstrate",verb
复,fù,return; repeat; repeatedly,verb
病,bìng,"illness, sickness, disease",noun
息,xī,"rest, put stop to, end, cease",noun
究,jiū,"examine, investigate",verb
线,xiàn,"line, thread, wire; clue",noun
似,sì,"resemble, similar to; as if, seem",verb
官,guān,"official, public servant",noun
火,huǒ,"fire, flame; burn; anger, rage",noun
断,duàn,"sever, cut off; interrupt",verb
精,jīng,essence; semen; spirit,noun/adjective
满,mǎn,"fill; full, satisfied",adjective/adverb
支,zhī,"disperse, pay; support; branch",noun/verb
视,shì,"look at, inspect, observe, see",verb
消,xiāo,"vanish, die out; melt away",verb
越,yuè,"exceed, go beyond; the more ...",verb
器,qì,"receptacle, vessel; instrument",noun
容,róng,"looks, appearance; figure, form",verb/noun
照,zhào,"shine, illumine, reflect",verb
须,xū,"must, have to, necessary",verb/auxiliary
九,jiǔ,nine,numeral
增,zēng,"increase, add to, augment",verb
研,yán,"grind, rub; study, research",verb
写,xiě,"write; draw, sketch; compose",verb
称,chēng,"call; name, brand; address; say",verb
企,qǐ,plan a project; stand on tiptoe,noun
八,bā,"eight; all around, all sides",numeral
功,gōng,"achievement, merit, good result",noun
吗,ma,final interrogative particle,particle
包,bāo,"wrap, pack, bundle; package",noun/verb
片,piàn,"slice, splinter, strip; rad. 91",noun/measure word
史,shǐ,"history, chronicle, annals",noun
委,wěi,"appoint, send, commission",verb
乎,hū,interrogative or exclamatory final particle,particle
查,chá,"investigate, examine, seek into",verb
轻,qīng,"light; easy, simple; gentle",adjective
易,yì,change; easy,adjective/adverb
早,zǎo,early; soon; morning,adjective/adverb
曾,céng,already; sign of past,adverb
除,chú,"eliminate, remove, except",verb
农,nóng,"agriculture, farming; farmer",noun
找,zhǎo,"search, seek, look for; find",verb
装,zhuāng,"dress, clothes, attire; fill",verb
广,yǎn,"wide, extensive, broad; rad. 53",adjective
显,xiǎn,"manifest, display; evident, clear",verb
吧,ba,emphatic final particle,particle
阿,ā,prefix for people's names; used in transliteration,prefix
李,lǐ,plum; judge; surname,noun
标,biāo,"mark, symbol, label, sign; stand the bole of a tree",noun/verb
谈,tán,talk; conversation; surname,verb
吃,chī,"eat; drink; suffer, endure, bear",verb
图,tú,"diagram; chart, map, picture",noun
念,niàn,"think of, recall, study",noun/verb
六,liù,number six,numeral
引,yǐn,"to pull, draw out, attract; to stretch",verb
历,lì,history; calendar,noun
首,shǒu,"head; first; leader, chief; a poem",noun
医,yì,"cure, heal; doctor, medical",noun
局,jú,"bureau, office; circumstance",noun
突,tū,"suddenly, abruptly, unexpectedly",verb
专,zhuān,"monopolize, take sole possession",adjective
费,fèi,"expenses, expenditures, fee",noun/verb
号,hào,"mark, sign; symbol; number",noun
尽,jǐn,"exhaust, use up; deplete",verb/adverb
另,lìng,"another, separate, other",adjective
周,zhōu,Zhou dynasty; circumference,noun
较,jiào,"compare; comparatively, more",adverb
注,zhù,"concentrate, focus, direct",verb
语,yǔ,"language, words; saying, expression",noun
仅,jǐn,"only, merely, solely, just",adverb
考,kǎo,"examine, test; investigate",verb
落,luò,"fall, drop; net income, surplus",verb
青,qīng,"blue, green, black; young",adjective
随,suí,"follow, listen to, submit to",verb
选,xuǎn,"choose, select; elect; election",verb
列,liè,"a line; to arrange in order, classify",noun/verb
武,wǔ,"military; martial, warlike",noun
红,hóng,"red, vermillion; blush, flush",adjective/noun
响,xiǎng,"make sound, make noise; sound",verb
虽,suī,"although, even if",conjunction
推,tuī,"push, expel; push forward",verb
势,shì,"power, force; tendency",noun
参,cān,"take part in, intervene; ginseng",verb
希,xī,"rare; hope, expect, strive for",noun
古,gǔ,"old, classic, ancient",adjective
众,zhòng,"multitude, crowd; masses, public",noun
构,gōu,"frame, building, structure",verb
房,fáng,"house, building; room",noun
半,bàn,half,noun
节,jié,"knot, node, joint; section",noun
土,tǔ,"soil, earth; items made of earth",noun
投,tóu,"throw, cast, fling, pitch; jump",verb
某,mǒu,certain thing or person,pronoun
案,àn,"table, bench; legal case",noun
黑,hēi,"black; dark; evil, sinister",adjective
维,wéi,"maintain, preserve, safeguard",verb
革,gé,"leather, animal hides; rad. 177",noun/verb
划,huá,to row or paddle boat; to scratch,verb
敌,dí,"enemy, foe, rival; resist",noun
致,zhì,"send, deliver, present; cause",verb
陈,chén,"exhibit, display; plead; a surname",noun
律,lǜ,"statute, principle, regulation",noun
足,zú,"foot; attain, satisfy, enough",noun/adjective
态,tài,"manner, bearing, attitude",noun
护,hù,"protect, guard, defend, shelter",verb
七,qī,seven,numeral
兴,xīng,"thrive, prosper, flourish",verb
派,pài,"school of thought, sect, branch",verb/noun
孩,hái,"baby, child; children",noun
验,yàn,"test, examine, inspect; verify",verb
责,zé,"one's responsibility, duty",noun/verb
营,yíng,"encampment, barracks; manage",noun/verb
星,xīng,"a star, planet; any point of light",noun
够,gòu,"enough, adequate",verb
章,zhāng,"composition; chapter, section",noun
音,yīn,"sound, tone, pitch, pronunciation",noun
跟,gēn,"heel; to follow, accompany; with",verb
志,zhì,"purpose, will, determination; annals",noun
底,dǐ,"bottom, underneath, underside",noun
站,zhàn,"stand up; a stand, station",verb
严,yán,"strict, rigorous, rigid; stern",adjective
巴,bā,"greatly desire, anxiously hope",particle
例,lì,"precedent, example; regulation",noun
防,fáng,defend; prevent; embankment,verb
族,zú,"a family clan, ethnic group, tribe",noun
供,gōng,"supply, provide for; offer in worship",verb
效,xiào,"result, effect; effectiveness",noun
续,xù,"continue, carry on; succeed",verb
施,shī,"grant, bestow; give; act; name",verb
留,liú,"stop, halt; stay, detain, keep",verb
讲,jiǎng,explain; discuss; talk,verb
型,xíng,"pattern, model, type; law; mold",noun
料,liào,"consider, conjecture; materials, ingredients",noun
终,zhōng,"end; finally, in the end",verb
答,dá,"answer, reply; return; assent to",verb
紧,jǐn,"tense, tight, taut; firm, secure",adjective
黄,huáng,yellow; surname,adjective/noun
绝,jué,"to cut, sever, break off, terminate",verb
奇,qí,"strange, unusual, uncanny, occult",adjective
察,chá,"examine, investigate; notice",verb
母,mǔ,mother; female elders; female,noun
京,jīng,capital city,noun
段,duàn,"section, piece, division",noun
依,yī,"rely on, be set in; consent, obey a wish",verb
批,pī,"comment, criticize; wholesale",noun
群,qún,"(same as U+7FA3 羣) group, crowd, multitude, mob",noun
项,xiàng,"neck, nape of neck; sum; funds",noun
故,gù,"ancient, old; reason, because",noun
按,àn,"put hand on, press down with hand",verb
河,hé,river; stream; yellow river,noun
米,mǐ,hulled or husked uncooked rice,noun
围,wéi,"surround, encircle, corral",verb
江,jiāng,large river; yangzi; surname,noun
织,zhī,"weave, knit; organize, unite",verb
害,hài,"injure, harm; destroy, kill",verb
斗,dǒu,Chinese peck; liquid measure,verb/noun
双,shuāng,"set of two, pair, couple; both",adjective
境,jìng,"boundary, frontier; area, region",noun
客,kè,"guest, traveller; customer",noun
纪,jì,"record, annal, historical account",noun
采,cǎi,"collect, gather; pick, pluck",verb
举,jǔ,"raise, lift up; recommend",verb
杀,shā,"kill, slaughter, murder; hurt",verb
攻,gōng,"attack, assault; criticize",verb
父,fù,father; KangXi radical 88,noun
苏,sū,"revive, resurrect; a species of thyme; transliteration of 'Soviet'",noun
密,mì,"dense, thick, close; intimate",adjective/noun
低,dī,"low; to lower, hang, bend, bow",adjective
朝,zhāo,dynasty; morning,noun
友,yǒu,"friend, companion; fraternity",noun
诉,sù,accuse; sue; inform; narrate,verb
止,zhǐ,"stop, halt, desist; detain",verb
细,xì,"fine, tiny; slender, thin",adjective
愿,yuàn,"sincere, honest, virtuous",verb
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",numeral
值,zhí,price,noun/verb
仍,réng,"yet, still, as ever; again; keep -ing, continuing",adverb
男,nán,"male, man; son; baron; surname",noun
钱,qián,"money, currency, coins",noun
破,pò,"break, ruin, destroy; rout",verb
网,wǎng,net; network; KangXi radical 122,noun
热,rè,hot; heat; fever; restless; zeal,adjective
助,zhù,"help, aid, assist",verb
倒,dǎo,fall over; lie down; take turns,verb
育,yù,"produce, give birth to; educate",verb
属,shǔ,"class, category, type; belong to",verb
坐,zuò,"sit; seat; ride, travel by",verb
帝,dì,"supreme ruler, emperor; god",noun
限,xiàn,"boundary, limit, line",noun/verb
船,chuán,"ship, boat, vessel",noun
脸,liǎn,face; cheek; reputation,noun
职,zhí,"duty, profession; office, post",noun
速,sù,"quick, prompt, speedy",adjective/adverb
刻,kè,"carve, engrave; quarter hour",verb/noun
